title,abstract,division,department
Niu_2025_Functional_Nanolayer_Dielectrics,"Negatively charged dielectric films have significant potential to improve the performance of semiconductordevices by modifying its carrier densities. Such charges can be embedded by injecting electrons to dielectricdefects, which can be intentionally engineered to control their density and location for specific applications.Understanding the interactions at the charged dielectrics and semiconductor interfaces is also essential foreffective integration into devices.The first part of this thesis focuses on the development of negatively charged dielectrics. The chargingmechanism of defects at the SiOx/AlOx interface was investigated, highlighting the necessity of an electronsource within a critical distance for defect-assisted charge injection. Based on this insight, negatively chargeddielectrics were designed for field-effect doping of 2D semiconductors. Negative corona charge was identifiedas a suitable electron source, offering greater flexibility in charge location. Additionally, corona charging atelevated temperatures was found to generate deep acceptor states, enabling high charge stability at 450 °C.Strategies to fabricate negatively charged dielectrics with a charge density of ~1012 q cm-2 were developed.The second part of this thesis explores the application of negatively charged dielectrics for passivating p-type silicon surfaces. The widespread adoption of silicon solar cells relies on both high energy conversionefficiency and cost-effective manufacturing. A SiOx/AlOx/SiNx passivation stack was designed using achemically grown SiOx layer at low temperature and an ultra-thin (~2.5 nm) AlOx layer while maintaining alow Seff of 6.3 cm/s. Detailed interface analysis revealed characteristic features of AlOx-passivated Si interfacesand the critical role of valence band tail states in evaluating the overall passivation. Advanced atomic-scalecharacterisation using TEM and EELS correlated changes in electrical properties with elemental distributionand bonding configuration. Additionally, the effects of electric field in passivation were investigated,presenting a new strategy for further optimisation of device performance, yielding a further improved Seff of5.5 cm/s on p-type Si. A comprehensive model was proposed to account for the observed changes in interfaceproperties, revealing an inherent correlation between chemical and field-effect passivation.Finally, this thesis presents the application of negatively charged dielectrics for p-type doping of 2D MoS2– an ongoing challenge in incorporating 2D semiconductors in the next generation nanoelectronics. An all-dryfabrication process for 2D MoS2-based field-effect transistors was developed, along with a controlledmeasurement environment to ensure reproducible electrical characterisation while fully preserving thedielectric charges. Correlating multiple characterisation techniques, this work provides converging evidencefor p-type field-effect doping of 2D MoS2, achieving a doping concentration of ~1012 q cm-2 without degradingchannel mobility. A comprehensive model of the dielectric-MoS2 interface was proposed, providing afoundation for further development of this doping strategy.",MPLS,Materials
Brody_2025_Numerical_simulation_of,"Hypersonic flight is an essential component of strategic defense and planetary exploration missions.Recent advances in physical understanding, material technology, and design practice have openednew possibilities both in defense and commercial applications and have led to a resurgence of interestin hypersonic technologies. Aerodynamic heating still presents the primary technical challenge inhypersonic flight. Traditionally, vehicles mitigate large heat loads with blunt leading edges andsometimes ablative thermal protection, accepting reduced aerodynamic performance. Achieving theperformance and maneuverability required for sustained hypersonic flight necessitates sharp leadingedges, making the management of their thermal loads critical for vehicle feasibility. A sharp leadingedge results in a reduced shock standoff distance, leading to a thinner shock layer and reduced drag,but also to increased surface heat flux, which needs an effective and durable mitigation strategy.The costs and technical challenges of flight testing necessitate the use of computational modeling.However, thermochemistry in the hypersonic regime is difficult to analyze and model. Thus, developingaccurate computational means to analyze relevant technologies will provide vehicle designers with theinformation required to achieve mission objectives.The goal of this project is to develop a computationally accurate and inexpensive numericalmethodology for modeling transpiration cooling (TC) on stagnation points, which will experiencethe highest heat loads. This method should incorporate the following phenomena: non-equilibriumthermochemistry, wall catalycity, and species transport to and inside the porous medium. Detailedtemperature profiles and species concentrations in the shock layer and within the porous medium canbe evaluated, with variations in these profiles and in stagnation heat and mass transfer computed asfunctions of flight altitude, speed, leading edge radius, and coolant flow rate and composition.The pursuit of this goal can be divided into three elements: 1) an accurate thermochemical modelsuitable for gas mixtures with general molecular weights; 2) a numerical solution method capable ofrepresenting the stagnation line from the shock layer to the flow within the porous medium; and finally3) a comprehensive study of conditions at the stagnation point of a TC cooled tip resulting in improvedcorrelations. Improvements in the thermochemical modeling are introduced through the evaluation ofcollision integrals using the Stockmayer potential for polar species, such as NO, CO, CN, and CH. Theaccurate evaluation of transport properties for atmospheres containing polar species makes the presentwork relevant to atmospheric entry problems on Mars/Jupiter as well as to active cooling systemsthat may introduce such species into flow around a hypersonic vehicle. The TC solver developed aspart of this work is capable of accurately modeling stagnation line flows with low computational cost.The solution method retains the full detail of the thermochemical model along the entire length of thestagnation line, including in the porous medium. The solver has been validated for both non-blowingand blowing applications. Results are presented on the comparison of coolant effectiveness for a generictest case. Finally, surface properties, catalycity and treatment of the wall temperature are studied tounderstand their impact on stagnation line profile, surface heat flux, and surface species concentration.These investigations allowed for the development of correlations for heat and mass Stanton numberreduction.This research aimed to develop a computationally accurate and efficient numerical solver capableof modeling transpiration cooling specifically at stagnation points under conditions of thermochemicalnon-equilibrium and to leverage this tool for a detailed characterization of the TC problem across awide operational parameter space. The work explicitly addressed key physical phenomena central tohypersonic flows with mass injection, including the complexities of non-equilibrium thermochemistryand multicomponent transport properties.",MPLS,Engineering Science
Ehrenfels_2025_The_epistemology_of,"This thesis addresses the question ‘Under what circumstances is it warranted to interpret symmetry-related models as equivalent?’. Moller-Nielsen [2017] distinguishes between interpretationalist and motivationalist attitudes towards this question. Interpretationalists maintain that observationally indistinguishable symmetry-related models may invariably be interpreted as equivalent. Motivationalists on the other hand argue that one is only licenced to do so once one has found a coherent account of the ontology shared by the symmetry-related models. This account is to be supplied in the form of a core model common to the symmetry-related models. This thesis contributes to the debate by defending a moderate form of motivationalism. It sets out by arguing for an approach to theory interpretation this thesis calls ameliorative interpretation. Subsequently, a moderate motivationalism is defended against both interpretationalism and more demanding forms of motivationalism. The motivationalism defended here is distinguished by (1) insistence that the construction of common core models is crucial to judgments of equivalence for symmetry-related models, (2) the view that where a common core construction falls short of providing a coherent ontology for the symmetry-related models, a judgment of equivalence can in certain cases nonetheless be secure, and (3) rejection of demands to the effect that the common core must take the form of an intrinsic theory in the sense of Jacobs [2022a]. The thesis also addresses how common core theories are to be constructed. An ecumenicism about the approaches of reduction and sophistication (Dewar [2019]) is defended, and it is argued that reduction is a more promising approach to reformulation than is often assumed. Finally, the thesis considers extensions of motivationalism to (a) nomic possibility and (b) dual theories. With respect to the latter, this thesis aims to show that a phenomenon Putnam [1977, 1980, 1987, 2001] calls ‘conceptual relativity’ does not pose a problem for motivationalism.",HUMS,International Development
Greenrod_2025_Temperature_as_a,"Thermal change has a profound impact on species fitness, ecological interactions, andevolutionary dynamics. Parasite communities are particularly sensitive to thermal change dueto their complex life cycles, strong competition for host resources, and dependence on hostthermal responses. Previous literature assessing the effects of thermal change on parasites hasprimarily focused on the relationship between parasites and their hosts. However, hosts innatural populations are frequently co-infected by a diversity of parasites which interact toreduce host fitness and increase host mortality rates. Despite the importance of parasitecommunities in animal and plant health, the extent to which thermal change alters parasitecommunity dynamics, composition, and diversity remains unclear. In this thesis, I assessedthe impact of temperature on parasite community ecology and evolution using a microbialhost-parasite system consisting of the bacterium Pseudomonas aeruginosa (host) and threelytic bacteriophages (parasite). Firstly, I conducted an experimental study looking at theimpact of temperature on growth rates, life-history traits, and competition in a phagecommunity. Phages were found to vary in their responses to temperature and so thermalchange altered competition outcomes and drove phage community composition shifts. I thenused experimental evolution and follow-on genomic and phenotypic analyses to assess theinteraction between thermal adaptation and phage community dynamics. I discovered thatphages can avoid thermal extinction through evolutionary rescue. Rescue, however, results inchanges to competition outcomes and promotes the exclusion and evolutionary constraint ofphage competitors. This body of work demonstrates that thermal change is a major driver ofparasite community ecology and evolution. The findings have implications for understandingthe role of temperature in the structure and dynamics of phage communities associated witheukaryotic hosts, as well as the efficacy of phage therapies. More broadly, they show thatthermal change can alter community dynamics and drive eco-evolutionary feedbacks, withconsequences for species coexistence amidst global climate change.",MPLS,Philosophy
Chao_2025_Synthetic_transmembrane_transporters,"The thesis describes the design and synthesis of photo-activated intra-vesicle catalysis systems.By regulating the transmembrane delivery process of catalytic species in response to light,photoresponsive catalysis within lipid bilayer membrane-bound systems can be achieved. Thisconcept is demonstrated by two intra-vesicle catalysis systems: a photoresponsivetransmembrane transport system for Pd(II) in combination with encapsulated water-solublephosphine ligands, and a photo-activated delivery system for catalytic Ru complexes.Chapter 1 introduces the field of synthetic supramolecular membrane systems and theirapplications in biological relevant contexts. Current progress in intracellular catalysis and thepotential of synthetic supramolecular membrane systems in this area are also discussed.Chapter 2 details a novel Pd(II) transport system and demonstrates its application in mediatingcatalysis within vesicles, in combination with water-soluble phosphine ligands encapsulated in thelumen.Chapter 3 demonstrates that the Pd-induced catalysis within vesicles can be controlled by lightthrough photocaging of the transporter introduced in Chapter 2.Chapter 4 establishes a photoresponsive Ru catalyst capable of mediating catalysis in lipid bilayervesicles, where the catalytic activity is initiated via light-activated transmembrane delivery.Chapter 5 outlines the experimental procedures employed throughout the work.Chapter 6 concludes the thesis and discusses potential topics for future investigation.",MPLS,Chemistry
Gao_2025_Association_between_neuroticism,"BACKGROUND: Neuroticism, a personality trait reflecting a tendency towards negativeemotions, has been linked to poor health outcomes. Evidence suggests an associationbetween higher neuroticism and dementia risk, although studies have been limited by smallsamples, short follow-up, and insufficient exploration of underlying pathways.METHODS: First, a systematic search (up to December 2023) was conducted to identifystudies investigating associations of neuroticism with incident dementia, cognitive function,and structural brain outcomes. Second, UK Biobank analyses of 174,164 adults aged ≥60years (up to 16 years follow-up) used Cox proportional hazards models to assess theassociation between baseline neuroticism (Eysenck Personality Questionnaire-Revised ShortForm) and incident dementia (hospital inpatient and death records), with mediation analysesto explore pathways. Third, EPIC-Norfolk analyses of 19,678 adults aged 40–80 years (up to26 years follow-up) assessed long-term associations across mid- to later life with dementiarisk, and also examined associations with multi-domain cognitive function. Fourth,associations between neuroticism and 249 circulating metabolites were examined in 215,624UK Biobank participants; neuroticism‐linked metabolites were then tested for associationswith incident dementia. Significant observational findings were further evaluated using two-sample Mendelian randomisation (MR) to assess their robustness. Finally, associationsbetween neuroticism and 1,747 brain structural outcomes were investigated in 36,901 UKBiobank participants, with mediation and bidirectional MR analyses to assess pathways anddirectionality.RESULTS: The systematic search confirmed a consistent association between higherneuroticism and increased dementia risk, and highlighted key evidence gaps. In UK Biobank,neuroticism showed a dose-response association with dementia risk, partly mediated bymental and vascular conditions. EPIC-Norfolk analyses demonstrated that this associationpersisted across ages 40–80 years and >20 years of follow-up, with higher neuroticism alsolinked to poorer performance across multiple cognitive domains. Metabolomic analysesrevealed that neuroticism was associated with an adverse profile, including lower omega-3fatty acids, particularly docosahexaenoic acid (DHA), which in turn was related to higherdementia risk; MR supported a pathway from genetically predicted neuroticism to lowerDHA and greater cerebrovascular burden. Brain-wide analyses showed that higherneuroticism was associated with smaller frontal grey matter volumes and widespreaddifferences in white matter microstructure. These structural differences were partly mediatedby mental and vascular conditions, and MR analyses suggested that they may be aconsequence of, rather than a vulnerability to, high neuroticism.CONCLUSIONS: This thesis provides robust evidence that higher neuroticism is associatedwith an increased long-term risk of dementia, with pathways involving mental and vascularconditions as well as lower omega-3 fatty acids. Neuroticism is also broadly associated withpoorer cognitive performance and structural brain features relevant to ageing and dementia.These findings highlight the potential role of neuroticism in dementia risk stratification andsuggest that, while neuroticism itself may be difficult to modify, targeting vascular andmental health factors in individuals with high neuroticism could represent a practical avenueto help reduce dementia burden.",MSD,Nuffield Department of Population Health
Parkes_2025_Magnetically-activated_DNA_and,"Nucleic acids serve as the fundamental building blocks for life, encoding geneticinformation that enable organisms to function. Ground-breaking research translating nucleicacids into therapeutic modalities has culminated into more than 21 approved drugs,including the mRNA-based vaccines for COVID-19. Their simplicity in design and abilityto target disease-causing genes that are deemed “undruggable” using conventional smallmolecules has accelerated research efforts. However, their susceptibility to nucleasedegradation and anionic charge inhibiting cell internalisation has driven research into drugdelivery strategies. A prevalent example is spherical nucleic acids, a delivery platformcomprising nucleic acids radially arranged around a nanoparticle-based core that traversesthe cell membrane and the blood-brain barrier. As fundamental building blocks, nucleicacids can be transformed into proteins through the process of transcription and translationfor therapeutic effect. Recently, synthetic biology has been used to produce these therapeuticproteins inside the body, capitalising off synthetic cells as novel drug delivery devices.Synthetic cells have comparable dimensions to eukaryotic cells, comprising lipid bilayersthat encapsulate a cell-free protein synthesis system and DNA templates that encode adesired function. The flexible design of synthetic cells increases their technological values,facilitating the production of pharmaceutically-relevant proteins by accommodating non-biological components, driving applications in drug delivery.To realise the potential of these delivery platforms, the drug should be activated and/orreleased on-demand and targeted to a specific tissue. The ability to control the function ofnucleic acids with an external stimulus is complementary to active targeting and holdspromise for improving biodistribution in-vivo. An ideal stimulus is alternating magneticfields, which are tissue-penetrating and biocompatible. Magnetic nanoparticles act asheating mediators and dissipate thermal energy in alternating magnetic fields. This heating,termed magnetic hyperthermia, is a clinical cancer therapy.In this project, a novel delivery platform was designed, synthesised and validated, whichexploited magnetic hyperthermia to control the function of nucleic acids. The design wasinspired by the spherical nucleic acid architecture, whereby the installation of asuperparamagnetic core enabled the heat dissipated in an alternating magnetic field torelease bound DNA and activate a downstream process. Initially the platform was validatedby controlling the release of an antisense oligonucleotide, influencing the on-demanddegradation of target mRNA and selectively controlling gene knockdown with magnetichyperthermia. The platform was then expanded to release the T7 promoter sequence andselectively control cell-free protein synthesis in an alternating magnetic field. Thesecomponents were encapsulated inside a lipid bilayer, which enabled the in-situ productionand release of cargo from within synthetic cells using magnetic hyperthermia. The magneticregulation of gene expression throughout this project was achieved using clinically-tolerablemagnetic field strengths and frequencies. The newly-developed delivery platform thatharnessed magnetic hyperthermia to control the function of nucleic acids has the potentialto revolutionise targeted drug delivery, activating the drug itself (in the case of antisenseoligonucleotides) or catalysing the in-situ production and release of pharmaceutically-activemolecules (in the case of synthetic cells) only at the target tissue.",MPLS,Chemistry
Taskesen_2025_Tuning_magnetism_and,"This thesis reports the synthesis and characterisation of various layered mixed transition metalchalcogenide and pnictide materials. The commonality between the studied systems is that theyexhibit exotic magnetic phenomena, such as high- and low-Tc superconductivity and long-rangemagnetic order of the 3d transition metal moments.Chapter 3 details the effect of Ni substitution in ACo2Ch2 phases, where A = K, Rb, Cs, and Ch = S,Se. All of the Co-based phases show ferromagnetism, with the sole exception of antiferromagneticCsCo2Se2, suggesting that larger interlayer separation favours antiferromagnetic order. On the otherhand, all ANi2Ch2 phases show paramagnetism with a low-Tc superconducting transition below 2 K.Upon substitution of Ni for Co, a solid solution forms, which is evident from Synchrotron PXRD,and magnetometry measurements reveal a region of antiferromagnetic ordering, before the onset ofparamagnetism at high substitution levels. These drastic changes in magnetism arise from theaddition of an electron to the 3d band of the metallic ACo2Ch2 phases. The antiferromagneticmembers of the KCo2−xNixCh2 (Ch = S, Se) series were studied by neutron powder diffraction,revealing A-type antiferromagnetism in x = 0.5 and 1 members, while the long-range magnetic orderwas not detected in x = 1.5 member. The refined magnetic model is highly anisotropic and ischaracterised by ferromagnetic coupling between Co/Ni ions within the (Co/Ni)2Se2 sheets and anantiferromagnetic interaction between the adjacent (Co/Ni)2Se2 sheets along the stacking axis. Themechanisms responsible for the different types of magnetic coupling are direct ferromagneticinteractions between transition metal ions within the plane, while the RKKY mechanism isresponsible for the between-the-plane antiferromagnetic coupling, as the distance between the planesis too large (~5 Å) for any kind of direct interaction. PND of the CsCo2−xNixSe2 solid solution alsoshowed A-type antiferromagnetism in its x = 1 member, and an intriguing structural distortion wasfound from Synchrotron PXRD for a small region of compositions between 1.1 ≤ x ≤ 1.4. Thetetragonal symmetry of the parent phase is lowered to orthorhombic in these compositions.Chapters 4 and 5 detail the effect of chemical disorder and pressure, respectively, on the 1144 familyof iron-based superconductors. CaKFe4As4 is subject to chemical doping with small amounts of Cato introduce chemical disorder on one of its sublattices, however, the phase behaves as a line phaseand its structural features do not allow any disorder on any of the sublattices. On the other hand,SrRbFe4As4 is subject to elevated pressures in a high-pressure Synchrotron PXRD experiment. It isfound that no lattice collapse, driven by formation of As-As bonds, occurs between 0-26 GPa, as wasreported in the case in related compounds.Chapter 6 details the high-pressure synthesis of LaNixBi2, a low-Tc superconductor with a very smallsuperconducting volume fraction. It is found that superconductivity likely has an extrinsic origin, aseven a highly pure LaNixBi2 shows minimal superconducting volume fraction and itssuperconducting features, including Tc and Hc1 are coincidental with that of Ni-Bi secondary phases.",MPLS,Chemistry
Rad_2025_Police_Unionism,"In 2024, there were over 1,300 incidents of police violence, the highest number since data has beencollected on police killings of civilians (Campaign Zero 2025). While police violence across the U.S.persists, there is significant variation in fatal violence applied by police agencies, an institution thatplays a critical role in preserving racial authoritarianism in the U.S. While scholarship has identified amyriad of factors to consider when examining variation in police violence, one understudiedinstitution is police unions. This dissertation develops a novel, scalable index of policeprotectionism, capturing the presence and type of officer protections embedded in collectivebargaining agreements (CBAs) and Law Enforcement Officers’ Bills of Rights (LEOBORs). This isthe first large-N tool designed to evaluate long-standing theoretical claims about how policeprotections contribute to violent outcomes. Using this index, I first examine what correlates withhigher levels of police protections and find that racial segregation and violent crime are significantfactors. I then illustrate how the index can be used to assess whether protections correlate with fatalpolice violence. Across the 100 largest U.S. metropolitan areas, each additional protection category isassociated with a 10% (9.9%) increase in police killings. These models are not causal butdemonstrate the index’s analytic value and provide support for the theory that protections mayfacilitate police violence.Finally, to understand the broader police union mechanisms that may contribute to policeviolence beyond protections found in CBAs and LEOBORs, I conduct a paired case study of unionsin Chicago, IL, and Dallas, TX. While police protections may have a relationship with policeviolence outcomes, police union activities beyond protections, such as those in the politicaldimension (i.e., campaign contributions), are critical to our understanding of the role police unionsplay in preserving the institution which is necessary to achieve meaningful public safety reinvention.",SSD,Sociology
Zong_2025_Sustainable_removal_of,"Conventional wastewater treatment often fails to remove persistent antibioticmicropollutants like tetracycline, which spread antimicrobial resistance. This thesiscomprehensively develops, optimizes, and benchmarks advanced oxidation processes(AOPs) for the eco-friendly degradation of these contaminants.The work begins with the design and experimental validation of a novel sono-reactor system that utilizes TiO2 fractured nanoshells to enhance acoustic cavitation andradical generation. Through a detailed parametric investigation—including reactiontime, acoustic pressure, pH, catalyst loading, and hybrid conditions—rapid tetracyclinedegradation was achieved (100% degradation from 5 mg/L in 5 minutes).In the second phase, a process-level environmental evaluation was conducted usinglife cycle assessment to compare different experimental scenarios. It was found thatwhile sono-based systems excelled in operational performance, they incurred highelectricity-related emissions under current UK grid conditions. However, underprojected 2050 green electricity scenarios, the environmental burden shifted towardcatalyst synthesis. An improved continuous-flow system employing metal foam insteadof synthesized nanoparticles was proposed, resulting in a significant reduction in CO2emissions.The third research phase expanded the analysis to a comparative LCA and techno-economic assessment (TEA) of five representative AOP technologies: sono-, photo-,sonophoto-, Fenton-, and electrochemical processes. The results showed that electricity2usage (up to 83%) and catalyst synthesis (up to 98%) were dominant contributors toenvironmental impact. The sono-based method offered superior operationalperformance but high emission due to massive electricity consumption, whileconventional Fenton processes exhibited low emission under present conditions (1.2 vs0.478 kg-CO2/L).By integrating experimental innovation with environmental and economicevaluation, this thesis provides a novel framework for guiding the development of AOPtechnologies for their effectiveness in pollutant degradation and life cycle sustainability.The outcomes emphasize a crucial shift in research perspective—from prioritizingperformance alone to making environmentally-informed decisions in the design andimplementation of future water treatment systems.",MPLS,Engineering Science
